Replicate	Conc_CRP_Green	Conc_2_IL6_Red 	Green_cl	Green_tl	Red_cl	Red_tl
R1	0	20	20064,974	918,92	379,192	22314,024
R1	2	15	20275,146	988,005	344,192	21818,903
R1	4	10	19459,61	1035,163	358,192	20625,489
R2	6	8	22731,681	2813,205	9124,66	19503,246
R2	8	6	21348,974	2603,326	8413,004	19588,368
R2	10	4	21251,681	2708,033	8593,246	19766,489
R3	15	2	23611,388	4498,104	23079,731	16631
R3	20	0	23757,56	4401,961	22795,61	16219,368
R3			23089,681	4321,861	23249,853	16527,075
R4			18250,953	11649,489	18568,66	14345,953
R4			15819,589	11573,903	15658,589	14136,368
R4			18254,075	11638,196	16900,711	13165,711
R5			20806,204	15596,903	20733,782	10956,518
R5			20164,388	14489,539	20569,782	10587,347
R5			20702,731	14818,539	21542,61	11321,004
R6			23276,24	20396,368	23562,196	6554,74
R6			25260,924	20145,903	27061,924	6913,69
R6			25474,803	20675,903	26994,51	6859,397
R7			18782,246	20237,489	20384,539	6983,276
R7			5455,811	20229,903	20125,903	2984,134
R7			5176,104	20088,903	18859,075	2934,134
R8			622,263	17123,418	19410,368	442,607
R8			707,678	18771,368	19766,369	399,021
R8			700,678	19758,782	19845,075	493,021
