Replicate	Conc_CRP_Green	Conc_2_IL6_Red 	Green_cl	Green_tl	Red_cl	Red_tl
R1	0	20	0.01244799	0.003741624	0.00258277	0.0226471
R1	2	15	0.01076888	0.003470095	0.002598019	0.02181519
R1	4	10	0.00989873	0.003653226	0.002409233	0.01893175
R2	6	8	0.01336855	0.004718755	0.008741687	0.01725054
R2	8	6	0.01288907	0.004590472	0.007919212	0.01671947
R2	10	4	0.01154258	0.004215552	0.007623937	0.01462406
R3	15	2	0.01361756	0.005263424	0.01615968	0.01262412
R3	20	0	0.0117929	0.005248812	0.01447877	0.01150797
R3			0.0109365	0.004480535	0.01387801	0.01072343
R4			0.00964853	0.00701647	0.01362884	0.0104078
R4			0.008910224	0.00652403	0.01299379	0.009736316
R4			0.008939435	0.006262301	0.0136383	0.009823812
R5			0.009712757	0.007802757	0.01888997	0.01054182
R5			0.008022678	0.006878189	0.01613178	0.008934768
R5			0.008444495	0.007027249	0.01717264	0.009566223
R6			0.007973204	0.007901576	0.01717614	0.007175959
R6			0.006899738	0.007011626	0.01555544	0.006581902
R6			0.006738453	0.006964158	0.01537231	0.006546477
R7			0.007858183	0.008092153	0.01633658	0.006605943
R7			0.00490086	0.01115224	0.01932804	0.004958616
R7			0.005209146	0.01109227	0.0192588	0.004943054
R8			0.003740593	0.01523841	0.02105842	0.002657707
R8			0.003192714	0.01238023	0.0178757	0.00253223
R8			0.003346894	0.01283889	0.01847689	0.002690937
