Replicate;Conc_CRP_Green;Conc_2_IL6_Red;Green_cl;Green_tl;Red_cl;Red_tl
R1;20;20;1005,163;19630,217;1747,163;20629,903
R1;15;15;600,092;20041,317;0;19305,953
R1;10;10;665,92;17384,853;0;17016,924
R2;8;8;1710,305;18886,439;1128,82;18878,796
R2;6;6;1865,134;18272,027;1089,991;17615,024
R2;4;4;1837,184;21038,024;1118,991;19929,075
R3;2;2;5137,93;19324,317;4151,104;20483,803
R3;0;0;11541,075;24660,191;6436,347;24930,726
R3;;;5250,347;20758,489;3807,983;20508,075
R4;;;7769,054;13236,045;6983,933;18340,258
R4;;;12825,418;17117,744;6114,569;14983,673
R4;;;8479,468;19019,217;6928,69;17283,924
R5;;;12536,125;16876,995;11169,882;15878,158
R5;;;19411,317;20342,111;15398,539;30278,266
R5;;;19249,196;15031,522;10398,468;13967,643
R6;;;17613,66;11478,936;18388,125;15891,049
R6;;;18256,246;10339,078;17389,468;12553,07
R6;;;18619,368;17832,418;18130,296;16232,832
R7;;;18601,368;5994,116;19769,782;7320,815
R7;;;18900,903;5715,995;18407,539;7517,865
R7;;;18620,66;3505,903;17849,125;3717,803
R8;;;22875,56;916,335;21532,196;409,385
R8;;;20135,489;306,021;19112,125;0
R8;;;20733,024;253,728;19728,246;0
