Replicate	Conc_CRP_Green	Conc_2_IL6_Red	Green_cl	Green_tl	Red_cl	Red_tl
R1	20	20	0.002961569	0.0116078	0	0.0219301
R1	15	15	0.003223062	0.01151156	0	0.02190806
R1	10	10	0.002986574	0.01092422	0	0.02080468
R2	8	8	0.004338251	0.009010926	0.008306751	0.01627649
R2	6	6	0.004498664	0.008423516	0.007749205	0.01473587
R2	4	4	0.004511498	0.008337609	0.006784446	0.015746
R3	2	2	0.005666497	0.007506529	0.01012414	0.01231148
R3	0	0	0.004452353	0.006611333	0.008442254	0.01132495
R3			0.006392158	0.006526367	0.01002516	0.0112713
R4			0.006932149	0.005532152	0.01256423	0.007830138
R4			0.004597862	0.005337291	0.00930087	0.007065162
R4			0.00521038	0.005347248	0.01058743	0.007208173
R5			0.007188642	0.005093126	0.01566509	0.006904124
R5			0.005989528	0.005091786	0.01479969	0.006918446
R5			0.008734332	0.005295706	0.0163392	0.006849063
R6			0.01011789	0.00482903	0.0198206	0.00531488
R6			0.005897512	0.004805952	0.01196246	0.005634869
R6			0.009669363	0.004714029	0.01905829	0.005378085
R7			0.01132991	0.003842669	0.02260755	0.003113806
R7			0.01186881	0.003623394	0.02521378	0.003285155
R7			0.01035168	0.003499657	0.0209253	0.003307321
R8			0.01183943	0.004090586	0.02224235	0
R8			0.01164792	0.003212939	0.02297692	0.002321706
R8			0.01100605	0.002981317	0.02094085	0.002126602
