Replicate_1;Replicate_2;Green_cl;Green_tl;Red_cl;Red_tl;Concentration
E1;R1;0.04921836;0;0.02802344;0;0
E1;R1;0.04839353;0;0.03029511;0;5
E1;R1;0.05276638;0;0.02663578;0;10
E1;R1;0.04529847;0;0.02663578;0;20
E1;R1;0.05112791;0;0.02551;0;
E1;R2;0.05160202;0;0.02255392;0.07445537;
E1;R2;0.0574116;0;0.02701658;0.09296706;
E1;R2;0.05711473;0;0.0329977;0.09484632;
E1;R2;0.0618672;0;0.02939903;0.08603199;
E1;R2;0.06526961;0;0.02229077;0.08435358;
E1;R3;0.05183824;0;0.02666513;0.08247141;
E1;R3;0.06256665;0;0.0367585;0.106478;
E1;R3;0.06280301;0;0.03277948;0.09296652;
E1;R3;0.06453829;0;0.03017995;0.09613445;
E1;R3;0.06121771;0;0.02845037;0.08956203;
E1;R4;0.06316951;0.0257233;0.02865529;0.1081532;
E1;R4;0.06180194;0.02597323;0.02787077;0.1095457;
E1;R4;0.0610532;0.0251763;0.02979001;0.1123386;
E1;R4;0.06401144;0.02954902;0.03275202;0.1050695;
E1;R4;0.06219565;0.03208266;0.03332419;0.1085018;
E2;R1;0.05849673;0.0427857;0.0268728;0.02197503;
E2;R1;0.05844646;0.04161639;0.0268728;0.02197503;
E2;R1;0.06010003;0.0430943;0.02395425;0.0168984;
E2;R1;0.05658965;0.03939645;0.02461601;0.01691176;
E2;R1;0.0541939;0.03877005;0.0214169;0.01704864;
E2;R2;0.05985839;0.03832937;0.02605213;0.04515224;
E2;R2;0.05848739;0.03689636;0.02608824;0.04913165;
E2;R2;0.05864625;0.0359119;0.02172514;0.04546868;
E2;R2;0.06097261;0.03766126;0.02751674;0.04211607;
E2;R2;0.06106754;0.04021242;0.02899733;0.04592218;
E2;R3;0.0623251;0.03612294;0.03355776;0.06871324;
E2;R3;0.06651754;0.03578333;0.02181373;0.05761275;
E2;R3;0.06853782;0.03993888;0.03052234;0.06906542;
E2;R3;0.0673129;0.0387939;0.02649313;0.06506781;
E2;R3;0.06287384;0.03848039;0.02628028;0.06386262;
E2;R4;0.06678604;0.03875235;0.02979967;0.07206395;
E2;R4;0.0684986;0.03421413;0.02651497;0.07441043;
E2;R4;0.06291826;0.03732493;0.02967688;0.07728955;
E2;R4;0.06472074;0.03583878;0.03197908;0.07728955;
E2;R4;0.06636595;0.03095646;0.02297103;0.06958682;
E3;R1;0.05670479;0.03970588;0.01981573;0.01532179;
E3;R1;0.0555224;0.04087938;0.02357501;0.01793586;
E3;R1;0.05106341;0.0332241;0.02357501;0.01793586;
E3;R1;0.0524968;0.03614772;0.02132843;0.01578782;
E3;R1;0.05567846;0.03738537;0.02204192;0.01824328;
E3;R2;0.05467865;0.03313181;0.02055192;0.04572743;
E3;R2;0.05588235;0.03575651;0.02295028;0.05382229;
E3;R2;0.0594291;0.03797475;0.02860517;0.05307108;
E3;R2;0.05897288;0.0354266;0.02773447;0.05169698;
E3;R2;0.059613;0.03673891;0.02332569;0.05621658;
E3;R3;0.05885714;0.03649214;0.02676062;0.05530186;
E3;R3;0.0558675;0.03735839;0.02254322;0.05741579;
E3;R3;0.05581155;0.03438181;0.03011514;0.06217688;
E3;R3;0.05476657;0.03629234;0.02543435;0.05610208;
E3;R3;0.06311995;0.03579513;0.0231421;0.04798411;
E3;R4;0.06458653;0.03723682;0.02366419;0.06282215;
E3;R4;0.06142024;0.03618442;0.01963041;0.05564904;
E3;R4;0.0600112;0.03312325;0.02000472;0.05435861;
E3;R4;0.05368293;0.03617806;0.02000891;0.05814757;
E3;R4;0.0650028;0.03663356;0.02367288;0.05901483;
E4;R1;0.05041796;0.04385965;0.01799467;0.01630387;
E4;R1;0.05030303;0.04339122;0.01995386;0.0213869;
E4;R1;0.04941176;0.0416502;0.02183818;0.02055408;
E4;R1;0.044767;0.03996944;0.02398128;0.02194903;
E4;R1;0.05242017;0.0448955;0.02302696;0.02133053;
E4;R2;0.05315606;0.0364491;0.02279707;0.04337349;
E4;R2;0.05262735;0.04010402;0.02431373;0.0459883;
E4;R2;0.05340756;0.03591664;0.02279857;0.04541973;
E4;R2;0.05487546;0.0407477;0.0248649;0.04811985;
E4;R2;0.05678031;0.03822325;0.02752704;0.05144118;
E4;R3;0.05160637;0.03756237;0.02166706;0.04645346;
E4;R3;0.05550953;0.04100826;0.0247975;0.04856712;
E4;R3;0.05436211;0.04110177;0.02554534; 0.04856311;
E4;R3;0.04905831;0.0400774;0.02932598;0.05254325;
E4;R3;0.05240819;0.04022331;0.0284428;0.05597976;
E4;R4;0.05297884;0.03644788;0.0285441;0.0643036;
E4;R4;0.05032917;0.03467102;0.02017374;0.06619819;
E4;R4;0.05609527;0.03852124;0.02292944;0.06668759;
E4;R4;0.05398099;0.03921073;0.02259511;0.06819382;
E4;R4;0.05657403;0.0377165;0.02394189;0.06349833;
